Date Raw;Date Parsed;SLP Burned;SLP Minted
1627948800000;08/02/2021;50409000;46807330
1628035200000;08/03/2021;45733500;44290961
1628121600000;08/04/2021;59681400;176338677
1628208000000;08/05/2021;62752050;142527000
1628294400000;08/06/2021;55953900;129538107
1628380800000;08/07/2021;58415700;125153344
1628467200000;08/08/2021;52585950;106043366
1628553600000;08/09/2021;38685150;106447552
1628640000000;08/10/2021;56286600;109383202
1628726400000;08/11/2021;65785200;100002118
1628812800000;08/12/2021;55097100;100901474
1628899200000;08/13/2021;57595650;143063097
1628985600000;08/14/2021;53256000;212163470
1629072000000;08/15/2021;51814650;112230319
1629158400000;08/16/2021;51552600;79609909
1629244800000;08/17/2021;53801100;65624472
1629331200000;08/18/2021;55709100;113731047
1629417600000;08/19/2021;51075000;135537878
1629504000000;08/20/2021;42544650;113135070
1629590400000;08/21/2021;41427300;107486260
1629676800000;08/22/2021;43285200;98668678
1629763200000;08/23/2021;44391600;102294797
1629849600000;08/24/2021;40350450;128689362
1629936000000;08/25/2021;56587800;97585817
1630022400000;08/26/2021;52031700;96014677
1630108800000;08/27/2021;40927950;117222757
1630195200000;08/28/2021;37833600;125966645
1630281600000;08/29/2021;33993900;187942599
1630368000000;08/30/2021;37960200;234486721
1630454400000;08/31/2021;40996500;148507591
1630540800000;09/01/2021;34978200;149501997
1630627200000;09/02/2021;29187150;156952686
1630713600000;09/03/2021;31304100;158887536
1630800000000;09/04/2021;37810200;169435630
1630886400000;09/05/2021;44394450;125858539
1630972800000;09/06/2021;44474850;128297401
1631059200000;09/07/2021;44877750;97574001
1631145600000;09/08/2021;43987950;119643143
1631232000000;09/09/2021;44637900;139107182
1631318400000;09/10/2021;49151550;116270508
1631404800000;09/11/2021;43498050;122165522
1631491200000;09/12/2021;41337000;131192174
1631577600000;09/13/2021;38008950;150015882
1631664000000;09/14/2021;40212750;313447688
1631750400000;09/15/2021;40574250;181620656
1631836800000;09/16/2021;37323900;143638435
1631923200000;09/17/2021;39826950;165090955
1632009600000;09/18/2021;34234800;170180500
1632096000000;09/19/2021;36005250;167142117
1632182400000;09/20/2021;38289600;133478587
1632268800000;09/21/2021;36512400;126634723
1632355200000;09/22/2021;27830700;251417251
1632441600000;09/23/2021;111777150;173449263
1632528000000;09/24/2021;84110850;165599451
1632614400000;09/25/2021;76450050;135659433
1632700800000;09/26/2021;69067500;145255728
1632787200000;09/27/2021;61690500;148316545
1632873600000;09/28/2021;82072950;172259014
1632960000000;09/29/2021;41966400;423939036
1633046400000;09/30/2021;85842900;350588578
1633132800000;10/01/2021;57827250;234222398
1633219200000;10/02/2021;50916150;195947821
1633305600000;10/03/2021;33486000;443246561
1633392000000;10/04/2021;42096150;228833969
1633478400000;10/05/2021;55664250;146210112
1633564800000;10/06/2021;67588500;182406992
1633651200000;10/07/2021;63371100;173583216
1633737600000;10/08/2021;54928650;156887400
1633824000000;10/09/2021;55666950;182565379
1633910400000;10/10/2021;71891850;137656470
1633996800000;10/11/2021;67044150;134579340
1634083200000;10/12/2021;11298450;15117709
